Layer,MSE,Image_Type
conv1,0.0035285894,offsample
conv1,0.00021445002,offsample
conv1,0.00253104,offsample
conv1,0.004841763,offsample
conv1,0.00047729712,offsample
conv1,0.0032169952,offsample
conv1,0.003565508,offsample
conv1,0.005620809,offsample
conv1,0.0007153466,offsample
conv1,0.041606046,offsample
conv1,0.009288664,offsample
conv1,0.009215978,offsample
conv1,0.03808784,offsample
conv1,0.002797219,offsample
conv1,0.01323258,offsample
conv1,0.024793586,offsample
conv1,0.02384139,offsample
conv1,0.028846132,offsample
conv1,0.00014362679,offsample
conv1,0.013206926,offsample
conv1,0.03962273,offsample
conv1,0.011317141,offsample
conv1,0.032855604,offsample
conv1,0.0021309373,offsample
conv1,0.049890492,offsample
conv1,0.015917009,offsample
conv1,0.0016982835,offsample
conv1,0.030525252,offsample
conv1,0.04485423,offsample
conv1,0.022810109,offsample
conv1,0.0033869694,offsample
conv1,0.04641926,offsample
conv1,4.0398027e-05,offsample
conv1,0.0092132045,offsample
conv1,0.0034882356,offsample
conv1,0.003072228,offsample
conv1,0.018277265,offsample
conv1,0.02576775,offsample
conv1,0.0037753573,offsample
conv1,0.0006052879,offsample
conv1,0.012110957,offsample
conv1,0.0073420145,offsample
conv1,6.270198e-05,offsample
conv1,0.009322207,offsample
conv1,0.007198398,offsample
conv1,0.024546575,offsample
conv1,0.01615017,offsample
conv1,0.0009441385,offsample
conv1,0.0049475343,offsample
conv1,0.005988014,offsample
conv1,0.006533682,offsample
conv1,0.036122978,offsample
conv1,0.0067716297,offsample
conv1,0.018757077,offsample
conv1,0.03642755,offsample
conv1,0.0031566164,offsample
conv1,0.03953585,offsample
conv1,0.04576648,offsample
conv1,3.789729e-05,offsample
conv1,0.061123963,offsample
conv1,0.010672348,offsample
conv1,6.650815e-06,offsample
conv1,0.006099413,offsample
conv1,0.00028905252,offsample
conv1,0.008616699,offsample
conv1,0.0009970779,offsample
conv1,0.003292012,offsample
conv1,0.007855778,offsample
conv1,0.0046829563,offsample
conv1,0.034174234,offsample
conv1,6.6551205e-05,offsample
conv1,0.00072426844,offsample
conv1,0.038002744,offsample
conv1,0.0028410414,offsample
conv1,0.009687043,offsample
conv1,0.0012000847,offsample
conv1,0.0059672575,offsample
conv1,0.051336434,offsample
conv1,0.00031817058,offsample
conv1,0.0069682114,offsample
conv1,0.045864932,offsample
conv1,0.0002455171,offsample
conv1,4.616789e-07,offsample
conv1,0.008215631,offsample
conv1,0.014684427,offsample
conv1,0.0011807804,offsample
conv1,0.021048846,offsample
conv1,0.005205869,offsample
conv1,0.051708937,offsample
conv1,9.67042e-05,offsample
conv1,0.005431321,offsample
conv1,0.00012949723,offsample
conv1,0.0010285336,offsample
conv1,0.0092221275,offsample
conv1,0.016133055,offsample
conv1,0.002052231,offsample
conv1,0.015378188,offsample
conv1,0.024701191,offsample
conv1,0.0022754767,offsample
conv1,0.056063447,offsample
conv1,0.0014665956,offsample
conv1,0.012602473,offsample
conv1,0.005026501,offsample
conv1,0.04503821,offsample
conv1,0.0030743969,offsample
conv1,4.9719867e-05,offsample
conv1,0.0044267164,offsample
conv1,0.00040411268,offsample
conv1,0.017606596,offsample
conv1,0.0009118343,offsample
conv1,0.012982675,offsample
conv1,0.007890944,offsample
conv1,0.0028334102,offsample
conv1,0.013462413,offsample
conv1,0.0017353464,offsample
conv1,0.00474145,offsample
conv1,0.00044371086,offsample
conv1,0.007015602,offsample
conv1,0.03551481,offsample
conv1,0.0018057075,offsample
conv1,0.022686996,offsample
conv1,0.0009349363,offsample
conv1,0.005815653,offsample
conv1,0.057086274,offsample
conv1,0.005285386,offsample
conv1,0.026176523,offsample
conv1,0.02357375,offsample
conv1,0.0036399614,offsample
conv1,0.020137616,offsample
conv1,5.891309e-05,offsample
conv1,0.021292621,offsample
conv1,0.004633903,offsample
conv1,2.6584648e-05,offsample
conv1,0.00093377254,offsample
conv1,0.005063009,offsample
conv1,0.0054118577,offsample
conv1,0.0025438203,offsample
conv1,0.05460876,offsample
conv1,0.008540714,offsample
conv1,0.002800904,offsample
conv1,0.010051409,offsample
conv1,0.0012996565,offsample
conv1,0.011494178,offsample
conv1,0.021679027,offsample
conv1,0.00043488818,offsample
conv1,2.2339278e-05,offsample
conv1,0.009863672,offsample
conv1,0.00020114104,offsample
conv1,0.011096292,offsample
conv1,0.03448901,offsample
conv1,0.05617919,offsample
conv1,0.03701905,offsample
conv1,6.759932e-05,offsample
conv1,0.020024288,offsample
conv1,0.019908905,offsample
conv1,0.0014561593,offsample
conv1,0.007527027,offsample
conv1,2.5488015e-07,offsample
conv1,0.00047761,offsample
conv1,0.005635496,offsample
conv1,0.0003924729,offsample
conv1,0.06239033,offsample
conv1,0.012538424,offsample
conv1,0.005672284,offsample
conv1,0.004225795,offsample
conv1,0.0051964866,offsample
conv1,0.01241669,offsample
conv1,0.00070660614,offsample
conv1,0.0042834207,offsample
conv1,0.0055528395,offsample
conv1,0.013634049,offsample
conv1,0.0025038705,offsample
conv1,0.003587502,offsample
conv1,0.022130115,offsample
conv1,0.0034412902,offsample
conv1,0.050812542,offsample
conv1,0.013299683,offsample
conv1,0.008222881,offsample
conv1,0.006048044,offsample
conv1,0.085914,offsample
conv1,0.0020647347,offsample
conv1,0.0012341854,offsample
conv1,0.010556497,offsample
conv1,0.0169715,offsample
